id,nametitle,firstname,lastname,namesuffix,aliases,gradschool,graddegree,gradyear,facultyschool,facultytitle,facultydept,facultyyear
178,,Ying,Ge,,,,Ph.D.,1997,16,Assistant Professor,Chemistry,
179,,Samuel,Gellman,,,,Ph.D.,1981,16,Professor,Chemistry,
180,,Pupa,Gilbert,,,University of Rome,Ph.D.,1987,16,Professor,Chemistry,
181,,Randall,Goldsmith,,,,Ph.D.,2002,16,Assistant Professor,Chemistry,
182,,Padma,Gopalan,,,,Ph.D.,2001,16,Associate Professor,Chemistry,
183,,Robert,Hamers,,,University of Wisconsin,Ph.D.,1980,16,Professor,Chemistry,
184,,John,Harriman,,,University of Wisconsin,Ph.D.,1959,16,Professor Emeritus,Chemistry,
185,,Ive,Hermans,,,,Ph.D.,2000,16,Associate Professor,Chemistry,
186,,Richard,Hsung,,,University of Chicago,Ph.D.,1988,16,Professor,Chemistry,
187,,Song,Jin,,,,Ph.D.,1997,16,Professor,Chemistry,
188,,Laura,Kiessling,,,,Ph.D.,1983,16,Professor,Chemistry,
189,,Clark,Landis,,,University of Illinois,Ph.D.,1980,16,Professor,Chemistry,
190,,Lingjun,Li,,,University of Illinois,Ph.D.,1992,16,Professor,Chemistry,
191,,David,Lynn,,,University of South,Ph.D.,1994,16,Professor,Chemistry,
192,,Mahesh,Mahanthappa,,,University of Colorado,Ph.D.,1997,16,Associate Professor,Chemistry,
193,,Robert,McMahon,,,University of Illinois,Ph.D.,1980,16,Professor / Chair,Chemistry,
194,,Sandro,Mecozzi,,,University of Rome,Ph.D.,1988,16,Associate Professor,Chemistry,
195,,Catherine,Middlecamp,,,University of Wisconsin,Ph.D.,1972,16,Professor,Chemistry,
196,,John,Moore,,,,Ph.D.,1961,16,Professor,Chemistry,
197,,Gilbert,Nathanson,,,,Ph.D.,1979,16,Professor,Chemistry,
198,,Stephen,Nelsen,,,University of Michigan,Ph.D.,1962,16,Professor Emeritus,Chemistry,
199,,Joel,Pedersen,,,University of California,,,16,Professor,Chemistry,
200,,Ronald,Raines,,,,Ph.D.,1980,16,Professor,Chemistry,
201,,M.,Record,,,University of California,Ph.D.,1964,16,Professor,Chemistry,
202,,Hans,Reich,,,University of Alberta,Ph.D.,1964,16,Professor Emeritus,Chemistry,
203,,Jordan,Schmidt,,,University of Wisconsin,Ph.D.,2001,16,Assistant Professor,Chemistry,
204,,Jennifer,Schomaker,,,University of California,Ph.D.,2006,16,Assistant Professor,Chemistry,
205,,David,Schwartz,,,,Ph.D.,1976,16,Professor,Chemistry,
206,,Bassam,Shakhashiri,,,University of Maryland,Ph.D.,1960,16,Professor,Chemistry,
207,,Edwin,Sibert,,,University of Colorado,Ph.D.,1978,16,Professor,Chemistry,
208,,James,Skinner,,,University of California,Ph.D.,1975,16,Professor,Chemistry,
209,,Lloyd,Smith,,,University of California,Ph.D.,1976,16,Professor,Chemistry,
210,,Shannon,Stahl,,,University of Illinois,Ph.D.,1992,16,Professor,Chemistry,
211,,Eric,Strieter,,,University of Wisconsin,Ph.D.,1999,16,Assistant Professor,Chemistry,
212,,Weiping,Tang,,,,Ph.D.,1997,16,Associate Professor,Chemistry,
213,,W.,Vaughan,,,,Ph.D.,1957,16,Emeritus Professor,Chemistry,
214,,Edwin,Vedejs,,,University of Michigan,Ph.D.,1962,16,Professor Emeritus,Chemistry,
215,,Douglas,Weibel,,,University of Utah,Ph.D.,1996,16,Associate Professor,Chemistry,
216,,Frank,Weinhold,,,University of Colorado,Ph.D.,1962,16,Professor Emeritus,Chemistry,
217,,James,Weisshaar,,,University of California,Ph.D.,1974,16,Professor,Chemistry,
218,,Robert,West,,,,Ph.D.,1950,16,Professor Emeritus,Chemistry,
219,,R.,Woods,,,,Ph.D.,1961,16,Professor,Chemistry,
220,,John,Wright,,,,Ph.D.,1965,16,Professor,Chemistry,
221,,Arun,Yethiraj,,,,Ph.D.,1985,16,Professor,Chemistry,
222,,Tehshik,Yoon,,,,Ph.D.,1996,16,Professor,Chemistry,
223,,Hyuk,Yu,,,University of Southern,Ph.D.,1955,16,Professor Emeritus,Chemistry,
224,,Lian,Yu,,,,Ph.D.,,16,Professor,Chemistry,
225,,Martin,Zanni,,,University of Rochester,Ph.D.,1994,16,Professor,Chemistry,
